Source,Rate category,Updated Parish,Month,Sum of Budget
Postpaid,RT20,St. James,Jul-26,6729739
Postpaid,RT20,St. James,Aug-26,7073763
Postpaid,RT20,St. James,Sept-26,6920958
Postpaid,RT20,St. James,Oct-26,6674109
Postpaid,RT20,St. James,Nov-26,6431337
Postpaid,RT20,St. James,Dec-26,6188990
Postpaid,RT20,St. Mary,Apr-26,1361469
Postpaid,RT20,St. Mary,May-26,1407055
Postpaid,RT20,St. Mary,Jun-26,1496175
Postpaid,RT20,St. Mary,Jul-26,1543890
Postpaid,RT20,St. Mary,Aug-26,1605909
Postpaid,RT20,St. Mary,Sept-26,1571219
Postpaid,RT20,St. Mary,Oct-26,1515179
Postpaid,RT20,St. Mary,Nov-26,1460064
Postpaid,RT20,St. Mary,Dec-26,1405045
Postpaid,RT20,St. Thomas,Apr-26,1058268
Postpaid,RT20,St. Thomas,May-26,1093702
Postpaid,RT20,St. Thomas,Jun-26,1162975
Postpaid,RT20,St. Thomas,Jul-26,1200064
Postpaid,RT20,St. Thomas,Aug-26,1261411
Postpaid,RT20,St. Thomas,Sept-26,1234162
Postpaid,RT20,St. Thomas,Oct-26,1190144
Postpaid,RT20,St. Thomas,Nov-26,1146852
Postpaid,RT20,St. Thomas,Dec-26,1103636
Postpaid,RT20,Trelawny,Apr-26,1106178
Postpaid,RT20,Trelawny,May-26,1143215
Postpaid,RT20,Trelawny,Jun-26,1283160
Postpaid,RT20,Trelawny,Jul-26,1324081
Postpaid,RT20,Trelawny,Aug-26,1322180
Postpaid,RT20,Trelawny,Sept-26,1293618
Postpaid,RT20,Trelawny,Oct-26,1247479
Postpaid,RT20,Trelawny,Nov-26,1202102
Postpaid,RT20,Trelawny,Dec-26,1156804
Postpaid,RT20,Westmoreland,Apr-26,2184692
Postpaid,RT20,Westmoreland,May-26,2540071
Postpaid,RT20,Westmoreland,Jun-26,2851008
Postpaid,RT20,Westmoreland,Jul-26,2941930
Postpaid,RT20,Westmoreland,Aug-26,2937705
Postpaid,RT20,Westmoreland,Sept-26,2874246
Postpaid,RT20,Westmoreland,Oct-26,2771730
Postpaid,RT20,Westmoreland,Nov-26,2670908
Postpaid,RT20,Westmoreland,Dec-26,2570262
Postpaid,RT40,Clarendon,Apr-26,3797326
Postpaid,RT40,Clarendon,May-26,3535879
Postpaid,RT40,Clarendon,Jun-26,3849207
Postpaid,RT40,Clarendon,Jul-26,4009385
Postpaid,RT40,Clarendon,Aug-26,4104789
Postpaid,RT40,Clarendon,Sept-26,4162048
Postpaid,RT40,Clarendon,Oct-26,4174325
Postpaid,RT40,Clarendon,Nov-26,4194174
Postpaid,RT40,Clarendon,Dec-26,4136168
Postpaid,RT40,Hanover,Apr-26,1173740
Postpaid,RT40,Hanover,May-26,1229543
Postpaid,RT40,Hanover,Jun-26,1412859
Postpaid,RT40,Hanover,Jul-26,1471653
Postpaid,RT40,Hanover,Aug-26,1431337
Postpaid,RT40,Hanover,Sept-26,1451303
Postpaid,RT40,Hanover,Oct-26,1455584
Postpaid,RT40,Hanover,Nov-26,1462506
Postpaid,RT40,Hanover,Dec-26,1442279
Postpaid,RT40,KSAN,Apr-26,14089109
Postpaid,RT40,KSAN,May-26,13119071
Postpaid,RT40,KSAN,Jun-26,14281602
Postpaid,RT40,KSAN,Jul-26,14875906
Postpaid,RT40,KSAN,Aug-26,15229880
